id;title;description;longitude;latitude;images;image_description
1;Kapelbrücke;"According to architectural history studies, the chapellbridge was built around 1365. It served a dual function as 
part of the city's defensive ring and as a pedestrian connection between the large city and the small town that 
began further downstream. Its diagonal alignment is attributed to this latter purpose. The original 285-meter-long 
structure is now just over 200 meters long: the two bridgeheads were set back after the construction of quays on the
 banks of the Reuss River in the 19th century. On August 18, 1993, shortly after midnight, a fire broke out on the Chapel Bridge, 
destroying about two-thirds of the bridge's superstructure as well as most of the panels from the painting cycle. ";8.307567284;47.051817;01_F2a_BRUECKEN_24_01-01-D.jpeg,01_F2a_ANLASS_EREIGNIS_0386-01-ak-r-D.jpeg;Photographer unknown, ca. 1895, F2a/BRÜCKEN/24.01.01,Photo: Heller, Ruswil, 1993, F2a/ANLASS/EREIGNIS/0386
2;Löwendenkmal;"
The Dying Lion (6 by 10 meters), with Latin inscriptions and set within a landscaped park, was unveiled in Lucerne in 1821. The art piece was designed by one of the most famous sculptors of the time, the Danish artist Bertel Thorvaldsen, in Rome. The colossal sculpture was carved into the rock of a former quarry by the stonemason Lukas Ahorn from Constance.
The initiator, Carl Pfyffer von Altishofen, intended this anti-revolutionary monument to commemorate the dramatic events of August 10, 1792, in Paris, when an enraged mob killed hundreds of Swiss mercenaries, the royal guard of French King Louis XVI, during the storming of the royal palace (the Storming of the Tuileries).";8.310908389;47.05848067;02_F2a_ANLAGEN_24_01-07-ak-r-D.jpeg;Photographer unknown, ca. 1900, F2a/ANLAGEN/24.01:07,Photo: Fr. Voege, 1900, Luzern, F2a/ANLAGEN/24.01:07
3;Spreuerbrücke;The southern half of the bridge, built in 1408, stands at right angles to the Reuss, the northern half at an angle to it. The English amateur painter Constance Mary Hemsworth (1869-1940) was so enthusiastic about the Spreuer Bridge during her visit to Lucerne that she had it faithfully reproduced in the large garden of her estate after her return. On display in Monk Fryston in North Yorkshire, England.;8.301662197;47.05190875;03_F2_PA_039-321-D.jpeg;Engraver: Roth, ca. 1750, F2 PA 39/321
4;Museggmauer;It is the medieval landmark of Lucerne and was built in the 13th century as a city fortification. Originally, an inner and an outer ring protected the city from enemy attacks.The Musegg Wall is still 870 m long, around 9 m high and 1.5 m wide. This makes it the longest city wall preserved in one piece in Switzerland. Of the original 30 towers, 9 are still preserved: Nölliturm , Männliturm , Luegisland , Wachtturm , Zytturm , Schirmerturm , Pulverturm , Allenwindenturm and Dächliturm . They provide an ideal habitat for a variety of animal species and plants.;8.305463097;47.0548424;04_F2a_BEFESTIGUNGSWERKE_10_01-01-D.jpeg;Fotographer unknown, ca. 1920, F2a/BEFESTIGUNGSWERKE/10.01:01
5;Jesuitenkirche;Jesuit College and Jesuit Church 1574–1773  The Lucerne Jesuit Church was built with a dual purpose: as a school church for the Jesuit College and as a church for the general pastoral work of the Jesuits. The Jesuit Fathers arrived in Lucerne in 1574 and began operating the school in 1576. By the middle of the following century, the number of students had steadily grown. At its peak, the school was attended by 300–400 students in a city with fewer than 4,000 inhabitants, making it necessary to build a larger church. On the feast day of St. Francis Xavier (1506–1552), on December 3, 1666, the foundation stone was laid, and on August 29, 1677, the new church was consecrated by the papal nuncio, Edoardo Cibo.;8.305090474;47.05082628;05_F2a_BAHNHOFSTRASSE_11a_01-01-D.jpeg;Foto: Niklaus Hinder, Luzern ca. 1890, F2a/STRASSEN/BAHNHOFSTRASSE/11a01:01
6;Rathaus;"The image you provided is labeled ""Rathausturm."" The Rathausturm (Town Hall Tower) in Lucerne is part of the city's historical Town Hall complex, with a rich history dating back to the Middle Ages.

The tower, originally built in 1504, played a key role in the governance and legal affairs of Lucerne. It served as a watch and observation tower rather than being directly integrated into the city's fortifications. Beyond its defensive function, it also housed important civic archives, serving as a symbol of legal security and inner peace in the city.

Throughout its history, the Rathausturm was painted and redecorated several times. Between 1504 and 1924, it had various painted appearances, including a notable 1863 version. These changes reflect the evolving architectural and cultural styles of Lucerne over the centuries.
";8.306076268;47.0520712;06_F2a_KORNMARKT_03_01_01-02-D.jpeg;Fotographer unknown, ca. 1863, F2a/STRASSEN/KORNMARKT/03.01.01:02
7;Nadelwehr;"The facility was built between 1859 and 1861 and is considered a monument of both technical and architectural history.To this day, the water level of Lake Lucerne is manually controlled by removing or inserting so-called ""needles"" (wooden planks). Thanks to this regulation, the lake's water level can be kept at an optimal height for the season, regardless of the weather, in order to prevent flooding, among other things.";8.303240311;47.05133083;07_F2a_WASSERBAUTEN_26-07-p-D.jpeg;Fotographer unknown, ca. 1888, F2a/WASSERBAUTEN/26:07
8;Lederturm;On May 25, 1849, the city of Lucerne demolished the last remnants of the Leather Tower near the Grendel. The former detention prison had become obsolete and no longer fit the image of a modern city opening itself to the lake and tourism. The Musegg Wall, which still stands today, is only a part of the former city fortifications. Two rings of walls once surrounded medieval Lucerne. On the Reuss and lake sides, wooden bridges complemented the walls, which were equipped with towers, gates, and moats. With the development of Lucerne into a city around 1220, construction of the inner wall ring began, and it was likely completed by the end of the 13th century. By the early 15th century, the construction of the Chapel Bridge (around 1365), the second wall ring with the Musegg Wall (circa 1370–1408), and the Sentimauer were finished.;8.308360838;47.05404102;08_F2a_BEFESTIGUNGSWERKE_19-dr-D002.jpeg;Painter: Xaver Schwegler, 1846, F2a/Befestigungswerke/19:01
9;Burgerturm;"The Burgerturm was first mentioned in records in 1371. It was part of the city fortifications on the left bank of Lucerne and was known as the ""Moosturm"" in the 14th century. The Burgertor (Burgers' Gate) opened to the west, leading to the bridge over the Krienbach stream. The Burgerturm stood between the Suidter Pharmacy and the ""Wilden Mann"" Hotel. In 1864, it was demolished during the process of dismantling Lucerne's fortifications.

From 1597 to 1856, the Burgerturm served as a prison for minor offenses. In 1684, a fire bell was installed in the tower.

In 1785, the Burgerturm was fitted with a public clock. The clockwork has been preserved and features a ""cylinder escapement,"" a special and rarely used mechanism.";8.302924146;47.05029757;09_F2a_PFISTERGASSE_0-05-D.jpeg;Foto: Charles Mahler, ca. 1860, F2a/STRASSEN/PFISTERGASSE 0.05
10;Kesselturm;"The Kesselturm, along with the Interrogation Judge’s Office and the Upper Gate (from left to right) and the bridge over the Hirschengraben, was an important part of Lucerne’s historical infrastructure. The Kesselturm housed the majority of prisoners until 1857, including Dr. Jakob Robert Steiger, leader of the Freischaren (an anti-conservative militia). During his imprisonment, Steiger composed a poem that was later printed.

The Kesselturm's role as a detention facility reflects its significance in Lucerne's legal and judicial history, contributing to the city’s enforcement of law and order for many years.";8.302472353;47.04994056;10_F2a_BEFESTIGUNGSWERKE_17-01-D.jpeg;Lithograph: A. Rothweiler, ca. 1845, F2a/BEFESTIGUNGSWERKE/17:01
